May,Jun,Jul,Aug,Sep,FIPS,County
70.1,75.3,86.3,86.4,77.8,001,Alameda
57.9,63.0,77.5,72.4,64.9,003,Alpine
72.7,80.2,94.2,90.2,79.6,005,Amador
77.4,84.4,95.9,93.1,83.5,007,Butte
73.4,80.7,95.0,91.0,80.5,009,Calaveras
79.2,86.5,97.1,95.0,84.7,011,Colusa
71.7,77.2,89.3,88.9,79.4,013,Contra Costa
67.8,74.9,82.9,81.8,71.4,015,Del Norte
67.2,74.1,88.6,84.4,74.6,017,El Dorado
71.2,76.4,91.4,86.2,78.1,019,Fresno
77.2,85.1,95.5,94.0,83.6,021,Glenn
68.8,75.1,83.0,83.9,74.4,023,Humboldt
93.2,99.0,112.1,107.2,99.7,025,Imperial
79.3,84.3,100.0,91.6,83.9,027,Inyo
78.1,82.7,97.9,92.6,84.1,029,Kern
82.2,86.4,100.3,96.4,87.8,031,Kings
70.9,79.3,91.4,88.8,78.7,033,Lake
65.9,71.8,87.7,82.8,71.6,035,Lassen
71.3,76.0,91.8,88.8,80.7,037,Los Angeles
72.9,78.5,92.6,87.8,79.4,039,Madera
62.6,65.6,74.8,76.3,70.1,041,Marin
71.1,77.4,92.6,87.0,78.2,043,Mariposa
68.6,76.9,85.9,84.6,75.6,045,Mendocino
77.6,84.3,96.7,93.3,84.6,047,Merced
67.1,73.0,87.9,83.1,71.3,049,Modoc
62.1,66.7,82.8,76.0,68.8,051,Mono
70.8,75.5,88.7,86.8,79.0,053,Monterey
72.8,78.7,91.1,90.2,81.2,055,Napa
67.3,74.2,88.2,84.2,74.4,057,Nevada
68.8,72.6,85.5,85.5,79.2,059,Orange
68.5,75.4,89.0,85.1,75.5,061,Placer
65.1,71.3,85.8,81.4,71.4,063,Plumas
84.3,89.6,105.1,100.3,91.4,065,Riverside
78.5,85.2,96.8,95.1,85.2,067,Sacramento
71.1,77.4,91.5,88.7,79.8,069,San Benito
84.6,89.9,105.0,98.4,90.3,071,San Bernardino
73.9,78.5,93.5,90.8,83.3,073,San Diego
62.6,65.4,70.2,73.8,70.2,075,San Francisco
78.5,85.1,96.8,94.9,85.4,077,San Joaquin
72.6,76.1,91.9,87.6,79.9,079,San Luis Obispo
64.8,68.0,74.2,76.9,72.8,081,San Mateo
67.5,70.5,85.1,83.3,76.6,083,Santa Barbara
69.5,75.1,86.9,85.8,77.6,085,Santa Clara
66.2,70.3,80.5,81.9,75.1,087,Santa Cruz
73.9,81.5,94.0,90.2,79.1,089,Shasta
62.9,69.6,83.9,79.5,70.1,091,Sierra
68.0,75.2,87.3,83.7,71.5,093,Siskiyou
75.0,80.6,92.0,91.4,82.7,095,Solano
66.6,71.0,82.2,82.1,75.2,097,Sonoma
77.1,83.9,95.8,93.3,84.1,099,Stanislaus
81.5,88.4,99.1,97.0,86.8,101,Sutter
75.0,82.8,94.5,91.6,81.4,103,Tehama
71.2,80.0,90.8,88.0,76.1,105,Trinity
69.4,74.2,89.3,83.8,76.0,107,Tulare
64.8,70.5,85.5,80.5,72.1,109,Tuolumne
66.0,69.6,87.0,84.4,75.3,111,Ventura
79.0,86.0,97.0,95.3,85.8,113,Yolo
77.5,84.8,96.7,93.2,83.2,115,Yuba
